Date,WIL5000,WIL5000:BofA_AAA,WIL5000:BofA_BBB,WIL5000:BofA_CCC,WIL5000:Gold
2016-03-29,0.9999999999977007,-0.5378248006419292,0.6172439694506355,0.6842013815257185,-0.2909309476089081
2016-03-30,0.999999999997765,-0.5176594162655921,0.6093237601965299,0.6805065392994443,-0.28595248748283336
2016-03-31,0.9999999999976895,-0.49602550519679667,0.598649864628306,0.6763165308551291,-0.2806702462931796
2016-04-01,0.9999999999977266,-0.4746445353573276,0.5928421292864445,0.6738567106532223,-0.27539731844704607
2016-04-04,0.9999999999976723,-0.45405233128772,0.5850374265199662,0.6715971804723487,-0.2711112027783954
2016-04-05,0.9999999999977128,-0.43235924706584905,0.5747148086763056,0.668274606340213,-0.2688024765040808
2016-04-06,0.9999999999975815,-0.4052747933593234,0.5724849727492256,0.6627678648439816,-0.26517115909699107
2016-04-07,0.9999999999978338,-0.3799959399319722,0.5635193843091294,0.6575138573988429,-0.2635001468799611
2016-04-08,0.9999999999976544,-0.3568728677083102,0.5569363470129032,0.6522853783319517,-0.25965713472998875
2016-04-11,0.9999999999973824,-0.3342181449274803,0.5504018870809794,0.6464400932759221,-0.2554425808331343
2016-04-12,0.9999999999975293,-0.31001297284841145,0.5491333775124722,0.6403081706705067,-0.2467407435721865
2016-04-13,0.9999999999974827,-0.2791745528184108,0.5527004679630543,0.6341558155627405,-0.23183522851899144
2016-04-14,0.999999999997475,-0.25076590739348675,0.5551880206586426,0.6288810796009117,-0.21870446110222808
2016-04-15,0.9999999999973296,-0.22221748551886528,0.5566016393849794,0.6239708576955,-0.20448237674787956
2016-04-18,0.9999999999973536,-0.19464534013937335,0.5595824704799239,0.6194827037061065,-0.18927443070520011
2016-04-19,0.9999999999974003,-0.16758257049381403,0.5636558670830443,0.6168080698504147,-0.1700698400116607
2016-04-20,0.9999999999974564,-0.14462769385124755,0.5681036050086332,0.6155314929704773,-0.15338417123468676
2016-04-21,0.99999999999736,-0.12194485615329691,0.5719560548949207,0.6130857520423894,-0.1373560958621072
2016-04-22,0.9999999999975326,-0.09768622452936732,0.5776169415477784,0.6096889664191615,-0.12039884037101169
2016-04-25,0.9999999999975515,-0.07539699986637298,0.5823678655023743,0.6060587120376242,-0.1041100626712589
2016-04-26,0.9999999999972528,-0.05438086435888599,0.5868948088512768,0.6027064337431476,-0.08825368862608104
2016-04-27,0.9999999999972796,-0.03357357999731334,0.5902353475376543,0.6002287259486435,-0.0709111153665725
2016-04-28,0.9999999999972485,-0.014492542780118703,0.5917411062119277,0.5981148686558087,-0.055070414618904655
2016-04-29,0.9999999999972108,0.0055723470817768996,0.5933506642325052,0.5954292924531567,-0.037099353089330704
2016-05-03,0.9999999999971174,0.022539771798075005,0.5931283771895633,0.5936055243519356,-0.021179040756144206
2016-05-04,0.9999999999971085,0.03544122494125968,0.5902792688938501,0.5917828468486178,-0.00859603949136517
2016-05-05,0.9999999999970268,0.05280749616955025,0.5899989335530607,0.5884538566633521,0.004918085009791017
2016-05-06,0.9999999999969238,0.06648788072592508,0.5895111096441795,0.5865750763627172,0.017717555650058548
2016-05-09,0.9999999999969499,0.08127238864719075,0.5901179499496244,0.5848055747818671,0.028259884382694913
2016-05-10,0.9999999999969,0.10080907289477206,0.5958324135104617,0.5840346109662469,0.04142769088534433
2016-05-11,0.9999999999970984,0.11861177909832038,0.5993207223696645,0.5822810602099336,0.0536111034085685
2016-05-12,0.9999999999971039,0.1353300772400457,0.6030097450960856,0.5800150641667039,0.0663138344064997
2016-05-13,0.9999999999971455,0.1510817552890395,0.6050745313166289,0.5771374308039163,0.07693668202660149
2016-05-16,0.9999999999974251,0.16620264427548168,0.6089520978894687,0.5761876721051233,0.08854256492906998
2016-05-17,0.9999999999972871,0.17427253820511365,0.6082913034339146,0.5767996540077015,0.0944474030348674
2016-05-18,0.9999999999973176,0.17751300403658155,0.6086279493120711,0.5819944575985817,0.09927055974984263
2016-05-19,0.9999999999974517,0.17731069310279063,0.6103787165463852,0.5938223680612034,0.10325829232733298
2016-05-20,0.9999999999974025,0.1736415606858742,0.6121737056256157,0.611070686521717,0.10558610993416336
2016-05-23,0.9999999999974566,0.17379989149076272,0.6117699706759956,0.6192554480931316,0.10738532611028681
2016-05-24,0.9999999999973884,0.1809327536338439,0.6151803643652212,0.6250108122115475,0.11247137602332494
2016-05-25,0.9999999999975041,0.1892239786962254,0.6197039285261964,0.6311804953280986,0.11704704017905504
2016-05-26,0.9999999999975111,0.19186503858162143,0.623294931137216,0.6452329325982546,0.1203447825734689
2016-05-27,0.9999999999975324,0.19792240883870735,0.6274454505240085,0.6557096934096265,0.12364505469146135
2016-05-31,0.9999999999977008,0.2043702414450836,0.6315708867572388,0.6660620956086258,0.1261304692978049
2016-06-01,0.9999999999974797,0.20922163669764843,0.6363858323481453,0.6796781745966758,0.12738945508776525
2016-06-02,0.9999999999975571,0.21860382315836144,0.641387227608714,0.6885676594212178,0.13060923850407627
2016-06-03,0.9999999999973737,0.22653186801647518,0.645606335117814,0.7002262960195317,0.13450260301604894
2016-06-06,0.9999999999974171,0.2354699876318736,0.650518344109638,0.711367622016724,0.13966771681257795
2016-06-07,0.999999999997623,0.245536974881546,0.6556466578841694,0.7216131902631571,0.14468504664586612
